Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
33.76,6,67.82,497.069705595836,0.04,0.13,0.11,0.05,0.84,0.0,0.0,84,13,4,11,0.94,0.01,0.0,0.0,0.0,0.0,0.0,0.95,0.05,0.0,0.0,0.0,0.0,1.0,1.0,9821,60,559,98.21,109.4914133435111,98.21,0.0020117902755737,100,11988.3695959596
34.32,6,65.91,300.15529083755433,0.21,0.38,0.08,0.11,0.83,0.0,0.0,83,38,21,8,0.86,0.03,0.01,0.0,0.0,0.0,0.0,0.91,0.03,0.01,0.0,0.06,0.0,1.0,1.0,13080,60,559,130.8,146.43052615455224,130.8,0.0033316183090209,100,21441.898989899004
36.0,6,64.0,1768.0327108713063,0.08,0.34,0.04,0.08,0.93,0.0,0.0,93,34,8,4,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.01,0.0,0.0,0.02,0.0,1.0,1.0,12785,60,1350,127.85,209.6338980511528,127.85,0.0005665302276611,100,43946.37121212112
37.72,6,65.91,985.075566306939,0.25,0.04,0.01,0.15,0.98,0.0,0.0,98,4,25,1,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.01,0.0,0.0,0.0,0.0,1.0,1.0,14617,60,583,146.17,173.03284297345033,146.17,0.0010151600837707,100,29940.364747474723
38.28,6,65.91,1074.735051144866,0.12,0.41,0.02,0.09,0.96,0.0,0.0,96,41,12,2,0.97,0.01,0.01,0.0,0.0,0.0,0.0,0.98,0.02,0.0,0.0,0.0,0.0,1.0,1.0,11410,60,559,114.1,130.46811600130238,114.1,0.000930471420288,100,17021.929292929297
35.64,6,61.44,468.2412752565707,0.21,0.26,0.03,0.13,0.9,0.0,0.0,90,26,21,3,0.92,0.02,0.01,0.0,0.0,0.0,0.0,0.94,0.02,0.0,0.04,0.0,0.0,0.96,0.96,13393,60,559,133.93,162.74726362732443,133.93,0.002314269542694,100,26486.67181818184
38.4,6,65.27,556.6066705682045,0.08,0.33,0.0,0.05,0.98,0.0,0.0,98,33,8,0,0.96,0.01,0.0,0.0,0.0,0.0,0.0,0.98,0.01,0.0,0.01,0.0,0.0,0.99,0.99,9695,60,559,96.95,105.56221536672732,96.95,0.0017966103553771,100,11143.38131313132
37.8,6,64.0,1126.241622271868,0.05,0.62,0.01,0.03,0.99,0.0,0.0,99,62,5,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8629,60,559,86.29,82.94811509600325,86.29,0.00088791847229,100,6880.389797979801
34.32,6,71.0,467.44077450905,0.06,0.27,0.01,0.08,0.93,0.0,0.0,93,27,6,1,0.92,0.01,0.0,0.0,0.0,0.0,0.0,0.94,0.05,0.0,0.01,0.0,0.0,0.99,0.99,11933,60,879,119.33,146.281315735583,119.33,0.0021393203735351,100,21398.223333333328
33.8,6,67.82,522.8892711995412,0.32,0.16,0.03,0.2,0.93,0.0,0.0,93,16,32,3,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.03,0.0,0.0,0.01,0.0,1.0,1.0,17431,60,559,174.31,194.9648346950722,174.31,0.0019124603271484,100,38011.28676767683
